survey_year,duration,event,female,age,age_group,education,race_eth,married,industry,great_recession,weight
2002,4,1,0,32,30-39,HS diploma,White non-Hispanic,0,Trade,0,1378.281
2002,3,1,0,28,20-29,HS diploma,White non-Hispanic,0,Manufacturing,0,1413.8794
2002,1,1,1,53,50-59,Less than HS,White non-Hispanic,1,Manufacturing,0,1270.1386
2002,4,1,1,63,60+,College plus,Black non-Hispanic,1,Education/health,0,315.8291
2002,6,1,1,41,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,2588.6475
2002,1,0,1,42,40-49,HS diploma,Black non-Hispanic,0,,0,5935.3049
2002,1,0,1,48,40-49,Some college,White non-Hispanic,1,Manufacturing,0,2434.3273
2002,7,1,0,33,30-39,HS diploma,White non-Hispanic,1,Manufacturing,0,2753.0648
2002,1,0,1,55,50-59,HS diploma,White non-Hispanic,1,Manufacturing,0,2544.5377
2002,8,1,0,55,50-59,Some college,White non-Hispanic,0,Entertainment/hospitality,0,2378.9377
2002,1,0,0,45,40-49,Some college,White non-Hispanic,0,Business/repair services,0,3092.3877
2002,4,1,0,36,30-39,HS diploma,Black non-Hispanic,0,Manufacturing,0,3330.4061
2002,104,1,0,59,50-59,College plus,White non-Hispanic,1,Manufacturing,0,532.8128
2002,3,1,1,39,30-39,College plus,Other/multiracial,0,,0,565.675
2002,16,1,0,34,30-39,College plus,White non-Hispanic,1,Professional services,0,2564.6055
2002,25,1,1,51,50-59,Some college,White non-Hispanic,0,Finance/insurance/RE,0,2137.4262
2002,32,1,1,31,30-39,HS diploma,White non-Hispanic,0,Manufacturing,0,2159.8096
2002,1,0,1,37,30-39,HS diploma,Black non-Hispanic,0,Trade,0,2157.7388
2002,1,0,0,69,60+,HS diploma,White non-Hispanic,1,,0,435.4371
2002,1,0,0,34,30-39,HS diploma,Black non-Hispanic,0,Professional services,0,4487.159
2002,4,1,1,21,20-29,Some college,Black non-Hispanic,0,Education/health,0,4089.1768
2002,1,0,0,31,30-39,HS diploma,White non-Hispanic,0,,0,2804.9245
2002,104,1,1,66,60+,HS diploma,White non-Hispanic,0,Education/health,0,3853.8828
2002,1,0,1,58,50-59,Some college,White non-Hispanic,0,Manufacturing,0,583.0841
2002,20,1,0,52,50-59,College plus,White non-Hispanic,0,Education/health,0,2603.2241
2002,1,0,1,38,30-39,Some college,Black non-Hispanic,0,,0,2649.2254
2002,1,0,0,36,30-39,Some college,White non-Hispanic,1,,0,2888.0532
2002,1,0,1,25,20-29,HS diploma,White non-Hispanic,0,,0,2786.1579
2002,3,1,0,37,30-39,Some college,White non-Hispanic,0,Construction,0,1586.4653
2002,12,1,1,47,40-49,Less than HS,Hispanic,0,Business/repair services,0,1344.0215
2002,8,1,1,24,20-29,Less than HS,White non-Hispanic,1,Business/repair services,0,1900.5018
2002,1,0,0,43,40-49,College plus,White non-Hispanic,0,Education/health,0,1765.5249
2002,2,1,0,41,40-49,College plus,White non-Hispanic,1,Education/health,0,2716.48
2002,2,1,1,42,40-49,HS diploma,White non-Hispanic,0,Manufacturing,0,2707.1768
2002,28,1,0,38,30-39,College plus,White non-Hispanic,0,Manufacturing,0,2936.3804
2002,60,1,1,38,30-39,College plus,White non-Hispanic,0,Public admin,0,2536.8201
2002,104,1,0,28,20-29,Less than HS,Black non-Hispanic,0,Business/repair services,0,3516.7192
2002,1,0,1,77,60+,HS diploma,White non-Hispanic,0,,0,2123.0316
2002,1,0,0,20,20-29,HS diploma,White non-Hispanic,0,,0,2793.4479
2002,12,1,1,53,50-59,HS diploma,White non-Hispanic,1,Manufacturing,0,456.4177
2002,1,0,0,38,30-39,Some college,White non-Hispanic,0,Construction,0,510.97
2002,36,1,0,48,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,2203.1828
2002,5,1,0,38,30-39,Some college,White non-Hispanic,1,Trade,0,2425.1338
2002,1,1,1,43,40-49,HS diploma,White non-Hispanic,1,Business/repair services,0,2744.1085
2002,36,1,1,51,50-59,HS diploma,White non-Hispanic,1,Business/repair services,0,2296.4735
2002,1,0,0,49,40-49,HS diploma,Black non-Hispanic,0,,0,3474.0506
2002,1,0,0,53,50-59,Less than HS,Black non-Hispanic,0,Business/repair services,0,332.2483
2002,1,0,0,36,30-39,HS diploma,Hispanic,0,Entertainment/hospitality,0,408.6621
2002,1,0,0,41,40-49,Some college,White non-Hispanic,1,Trade,0,3001.3275
2002,8,1,1,61,60+,HS diploma,Black non-Hispanic,1,Professional services,0,4000.9253
2002,6,1,0,42,40-49,College plus,Black non-Hispanic,1,Education/health,0,2784.136
2002,1,1,0,30,30-39,College plus,White non-Hispanic,0,Business/repair services,0,2709.148
2002,2,1,0,29,20-29,HS diploma,White non-Hispanic,1,Education/health,0,2723.5308
2002,24,1,1,46,40-49,Some college,White non-Hispanic,0,Manufacturing,0,2530.2753
2002,1,0,1,70,60+,HS diploma,White non-Hispanic,0,Manufacturing,0,2307.5115
2002,2,1,1,24,20-29,Some college,White non-Hispanic,0,Business/repair services,0,3389.522
2002,2,1,0,55,50-59,Some college,White non-Hispanic,1,Construction,0,452.4785
2002,1,1,1,37,30-39,Some college,White non-Hispanic,0,Business/repair services,0,453.5845
2002,28,1,1,28,20-29,HS diploma,White non-Hispanic,0,Business/repair services,0,1996.3164
2002,2,1,1,25,20-29,Some college,Other/multiracial,0,Finance/insurance/RE,0,2236.6743
2002,1,1,0,27,20-29,HS diploma,White non-Hispanic,1,Business/repair services,0,3191.8307
2002,4,1,0,26,20-29,Some college,White non-Hispanic,0,Education/health,0,2094.5664
2002,1,1,0,38,30-39,Some college,White non-Hispanic,0,Professional services,0,2038.8226
2002,10,1,0,22,20-29,HS diploma,White non-Hispanic,0,Manufacturing,0,2915.2258
2002,1,0,1,52,50-59,HS diploma,White non-Hispanic,1,Business/repair services,0,1868.6658
2002,1,1,0,31,30-39,HS diploma,White non-Hispanic,0,Construction,0,4282.4182
2002,1,1,0,25,20-29,HS diploma,White non-Hispanic,0,Business/repair services,0,486.0728
2002,1,0,0,35,30-39,Some college,White non-Hispanic,0,Trade,0,3824.4543
2002,24,1,0,29,20-29,HS diploma,White non-Hispanic,0,Manufacturing,0,4425.958
2002,1,0,0,44,40-49,College plus,Hispanic,1,Business/repair services,0,2795.4186
2002,1,1,0,38,30-39,College plus,White non-Hispanic,1,Manufacturing,0,2825.9379
2002,12,1,0,27,20-29,College plus,White non-Hispanic,0,Business/repair services,0,542.0231
2002,8,1,0,33,30-39,HS diploma,White non-Hispanic,0,Trade,0,1653.5846
2002,1,0,1,34,30-39,College plus,White non-Hispanic,0,Education/health,0,1487.7538
2002,1,1,0,33,30-39,Less than HS,Hispanic,0,Agriculture/mining,0,494.5033
2002,32,1,1,30,30-39,Some college,White non-Hispanic,0,Professional services,0,2581.5545
2002,26,1,1,33,30-39,College plus,White non-Hispanic,1,Manufacturing,0,2581.5545
2002,1,0,0,40,40-49,HS diploma,White non-Hispanic,0,Business/repair services,0,2682.4244
2002,4,1,1,41,40-49,HS diploma,White non-Hispanic,0,Finance/insurance/RE,0,2615.5862
2002,1,0,1,59,50-59,HS diploma,White non-Hispanic,0,Manufacturing,0,3083.5875
2002,8,1,0,44,40-49,College plus,White non-Hispanic,1,Professional services,0,2948.0484
2002,28,1,0,34,30-39,Some college,Black non-Hispanic,0,Professional services,0,3566.5453
2002,1,0,1,54,50-59,HS diploma,White non-Hispanic,0,,0,2583.9967
2002,9,1,1,45,40-49,HS diploma,White non-Hispanic,1,Business/repair services,0,678.4225
2002,1,0,1,50,50-59,HS diploma,White non-Hispanic,0,Manufacturing,0,624.5075
2002,1,0,0,46,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,2357.5211
2002,1,0,1,48,40-49,College plus,White non-Hispanic,0,Professional services,0,2899.5009
2002,32,1,1,32,30-39,Some college,White non-Hispanic,1,Public admin,0,2581.5545
2002,8,1,1,54,50-59,HS diploma,White non-Hispanic,1,Business/repair services,0,2199.0178
2002,1,0,1,37,30-39,College plus,White non-Hispanic,0,Education/health,0,1225.5503
2002,1,1,1,36,30-39,HS diploma,White non-Hispanic,0,Manufacturing,0,1360.0546
2002,20,1,1,48,40-49,HS diploma,White non-Hispanic,1,Finance/insurance/RE,0,2989.9524
2002,3,1,1,33,30-39,HS diploma,White non-Hispanic,0,Professional services,0,2833.7544
2002,1,0,0,78,60+,HS diploma,White non-Hispanic,0,,0,2894.5136
